iter	Logloss
0	0.6900816394
1	0.6873114587
2	0.6848522655
3	0.6825092942
4	0.6802154177
5	0.677956609
6	0.6758659744
7	0.67379219
8	0.6719382497
9	0.6700916129
10	0.6683828125
11	0.6670361155
12	0.6654837582
13	0.663999141
14	0.6626060218
15	0.6613857939
16	0.6601536079
17	0.6590098084
18	0.6579829094
19	0.6570311734
20	0.6559699514
21	0.6549433007
22	0.6540820274
23	0.6533778851
24	0.6525331463
25	0.651795113
26	0.6511281786
27	0.6503349965
28	0.6496552672
29	0.6490238048
30	0.6484280939
31	0.647756596
32	0.6471430697
33	0.6465715542
34	0.6460292736
35	0.6455440711
36	0.6450391579
37	0.644563673
38	0.6440750078
39	0.6437360625
40	0.6433643627
41	0.6430161623
42	0.6425766179
43	0.6421105798
44	0.6417581888
45	0.6414570275
46	0.6411817929
47	0.640839507
48	0.64050898
49	0.6402254609
50	0.6398960739
51	0.6396554973
52	0.6393686122
53	0.6390844514
54	0.6388401485
55	0.6385701043
56	0.6383463121
57	0.6381554555
58	0.6379235454
59	0.6377489793
60	0.6375706844
61	0.6374059739
62	0.6372167699
63	0.6370348533
64	0.6368606173
65	0.636600207
66	0.6364111919
67	0.636219626
68	0.6360971673
69	0.6359452913
70	0.6357930317
71	0.6356151117
72	0.6354509601
73	0.6352757013
74	0.6351832788
75	0.6350775734
76	0.6349299402
77	0.6347500341
78	0.6346085066
79	0.6344688794
80	0.6343294132
81	0.6341824631
82	0.6340666176
83	0.6339555054
84	0.6338364341
85	0.6337196298
86	0.6336249749
87	0.6335016385
88	0.6334176656
89	0.6333232724
90	0.6332252352
91	0.6331384482
92	0.6330196753
93	0.6328941218
94	0.6328066346
95	0.6326933612
96	0.6326335429
97	0.6325424305
98	0.6324496763
99	0.6323391771
100	0.6322460135
101	0.6321404951
102	0.6320635003
103	0.6319646574
104	0.631912996
105	0.6318022008
106	0.6316997502
107	0.6316267673
108	0.6315406511
109	0.6314631336
110	0.6313900407
111	0.6313187145
112	0.6312061882
113	0.6310918146
114	0.6310071524
115	0.6309307172
116	0.6308340277
117	0.6307781871
118	0.6306910974
119	0.6306335309
120	0.6305441075
121	0.6304712297
122	0.6303904736
123	0.630310124
124	0.6302572927
125	0.6301902993
126	0.6301231192
127	0.6300740468
128	0.6300105156
129	0.6299193669
130	0.6298489559
131	0.6297717454
132	0.6297075967
133	0.6296470435
134	0.6295800049
135	0.6295227542
136	0.6294615957
137	0.6293985658
138	0.6293298727
139	0.6292818836
140	0.6292053157
141	0.6291409002
142	0.6290934479
143	0.6290115315
144	0.6289366229
145	0.6288604919
146	0.6287801034
147	0.6287091142
148	0.6286528182
149	0.6285875516
150	0.6285285014
151	0.6284645315
152	0.6284289794
153	0.6283681656
154	0.6283005652
155	0.6282570265
156	0.6282100792
157	0.6281295305
158	0.6280441453
159	0.6279746305
160	0.6279089095
161	0.6278480204
162	0.6277978964
163	0.6277306987
164	0.627658214
165	0.6275974169
166	0.6275566873
167	0.6274939946
168	0.6274582358
169	0.6273973654
170	0.6273817001
171	0.627298857
172	0.6272674993
173	0.6271956124
174	0.6271609602
175	0.6271077324
176	0.6270573589
177	0.6269637847
178	0.6269375292
179	0.6268713717
180	0.6267952316
181	0.6267406274
182	0.6267016162
183	0.6266438107
184	0.6265925514
185	0.626522952
186	0.6264478831
187	0.6263880132
188	0.6263273542
189	0.6262604336
190	0.6262110339
191	0.626190049
192	0.6261559046
193	0.6261079021
194	0.626075465
195	0.6260281076
196	0.625989224
197	0.6259360741
198	0.6258847096
199	0.6258364438
200	0.6257727427
201	0.6256975923
202	0.6256576928
203	0.6256187902
204	0.6255770463
205	0.6255387352
206	0.6255067709
207	0.6254539548
208	0.6253853373
209	0.6253410097
210	0.6252947674
211	0.6252697667
212	0.6252328302
213	0.6252034336
214	0.6251477562
215	0.6250861697
216	0.6250416897
217	0.624995334
218	0.6249422025
219	0.624902846
220	0.6248511807
221	0.6248061824
222	0.6247710755
223	0.6247087498
224	0.6246793658
225	0.6246360717
226	0.6246039706
227	0.6245556833
228	0.6245089526
229	0.6244502741
230	0.6243883705
231	0.6243512032
232	0.6242924397
233	0.6242524399
234	0.6241873781
235	0.6241489383
236	0.6241100051
237	0.6240867422
238	0.6240440168
239	0.6239853712
240	0.6239423901
241	0.6238788054
242	0.6238381196
243	0.6237897267
244	0.6237267904
245	0.623672662
246	0.6236136593
247	0.6235635579
248	0.6234887199
249	0.6234492952
250	0.6233632765
251	0.6233110089
252	0.6232771214
253	0.6232247455
254	0.6231612157
255	0.6231079812
256	0.6230882575
257	0.6230417505
258	0.6229905849
259	0.6229285627
260	0.6228751229
261	0.6228235733
262	0.6227759303
263	0.6227398798
264	0.6227108424
265	0.622678805
266	0.6226359377
267	0.622571988
268	0.6225263435
269	0.6224618176
270	0.6224019016
271	0.6223563432
272	0.6222881868
273	0.6222324781
274	0.6221842923
275	0.6221472423
276	0.6220970072
277	0.6220462589
278	0.6219845167
279	0.6219240458
280	0.6218693188
281	0.6218172253
282	0.6217585175
283	0.6217061293
284	0.6216699713
285	0.6216214768
286	0.6215746683
287	0.6215394434
288	0.6215003309
289	0.621442943
290	0.6213992743
291	0.6213461494
292	0.6213052689
293	0.6212637221
294	0.6212155122
295	0.6211826524
296	0.6211107565
297	0.6210656399
298	0.6210178181
299	0.6209660012
300	0.6209230348
301	0.6208807586
302	0.6208124931
303	0.6207758234
304	0.6207066935
305	0.6206442046
306	0.620603493
307	0.620548739
308	0.6204857961
309	0.6204398709
310	0.6203800668
311	0.6203306671
312	0.6202711168
313	0.6202351703
314	0.6201851988
315	0.6201394643
316	0.6200729177
317	0.6200401622
318	0.6199758534
319	0.6199260657
320	0.6198600247
321	0.6197879431
322	0.6197227709
323	0.6196725423
324	0.6196247542
325	0.6195979868
326	0.6195306577
327	0.6194826489
328	0.6194323302
329	0.6193854986
330	0.6193456534
331	0.619297184
332	0.6192487031
333	0.6191803904
334	0.6191193342
335	0.61904696
336	0.6189819715
337	0.6189298411
338	0.6188791188
339	0.6188253365
340	0.6187887873
341	0.6187450996
342	0.6187000435
343	0.6186606767
344	0.6186010584
345	0.6185579589
346	0.6185087683
347	0.618460545
348	0.6184414074
349	0.6183809668
350	0.6183383823
351	0.6182989031
352	0.6182200593
353	0.6181464801
354	0.6180660885
355	0.6180227793
356	0.6179802819
357	0.6179057957
358	0.6178578595
359	0.6178158826
360	0.6177623399
361	0.6177166775
362	0.6176618323
363	0.6175926008
364	0.6175421815
365	0.6174645506
366	0.6174048399
367	0.6173394936
368	0.6172733077
369	0.6172300435
370	0.6171650363
371	0.617102715
372	0.617058601
373	0.6169912837
374	0.6169423189
375	0.6168980097
376	0.6168592111
377	0.6167946984
378	0.6167458714
379	0.6166646584
380	0.6166025027
381	0.6165195202
382	0.6164533656
383	0.6163807903
384	0.6163038684
385	0.6162210684
386	0.6161500483
387	0.6160768642
388	0.6160224959
389	0.6159455601
390	0.6158907425
391	0.6158624043
392	0.615781744
393	0.6157349285
394	0.6156855131
395	0.6156243408
396	0.6155443514
397	0.6154790031
398	0.6154064409
399	0.6153314149
400	0.6152859474
401	0.6152187785
402	0.6151420823
403	0.615079248
404	0.6150166573
405	0.6149587358
406	0.6148865862
407	0.6148263538
408	0.6147518939
409	0.6146886805
410	0.6146094825
411	0.6145457448
412	0.6144862147
413	0.6144295834
414	0.6143551083
415	0.6143066629
