"match_id","season_year","tour_type","tour_type_human","date_timestamp","date_human","tournament","round","surface","surface_id","status","status_extra","home_name","away_name","home_id","away_id","home_rank","away_rank","home_points","away_points","winner_code","home_set_score","away_set_score","home_set_1_score","away_set_1_score","home_set_2_score","away_set_2_score","home_set_3_score","away_set_3_score","home_set_4_score","away_set_4_score","home_set_5_score","away_set_5_score","home_odds_match_winner","away_odds_match_winner","home_odds_first_set_winner","away_odds_first_set_winner","home_aces","away_aces","home_double_faults","away_double_faults","home_service_points_won_perc","away_service_points_won_perc","home_return_points_won_perc","away_return_points_won_perc","home_break_points_won_perc","away_break_points_won_perc","home_break_points_saved_perc","away_break_points_saved_perc"
"50962420",2021,1,"ATP Tour",1609859400,"05 Jan 2021","Delray Beach ATP - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Galovic V.","Dougaz A.","479435","283198","","","","",1,2,0,6,4,6,3,"","","","","","",1.44,2.62,1.5,2.5,"","","","","","","","","","","",""
"51541259",2021,1,"ATP Tour",1609859700,"05 Jan 2021","Delray Beach ATP - Qualification","Qualifier","hard",1,"FINISHED","RETIRED","Kozlov S.","Haerteis J.","649763","919241","","","","",1,0,0,5,0,"","","","","","","","",1.61,2.2,1.66,2.1,"","","","","","","","","","","",""
"41905728",2021,1,"ATP Tour",1609862100,"05 Jan 2021","Delray Beach ATP - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Sakamoto P.","Young D.","839524","186820","","","","",2,1,2,6,3,4,6,2,6,"","","","",2.75,1.4,2.62,1.44,"","","","","","","","","","","",""
"31331956",2021,1,"ATP Tour",1609865100,"05 Jan 2021","Delray Beach ATP - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Escobar G.","Quiroz R.","814701","338092","","","","",2,1,2,4,6,7,6,5,7,"","","","",2.5,1.5,2.25,1.57,"","","","","","","","","","","",""
"20264415",2021,1,"ATP Tour",1609870500,"05 Jan 2021","Delray Beach ATP - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Barrios Vera T.","Harrison C.","376007","884091","","","","",2,0,2,4,6,4,6,"","","","","","",2.2,1.61,2.1,1.66,"","","","","","","","","","","",""
"41111144",2021,1,"ATP Tour",1609874700,"05 Jan 2021","Delray Beach ATP - Qualification","Qualifier","hard",1,"FINISHED","RETIRED","Khan Z.","Ritschard A.","846957","139446","","","","",1,1,0,6,3,3,1,"","","","","","",2.75,1.4,2.62,1.44,"","","","","","","","","","","",""
"60708459",2021,1,"ATP Tour",1609879800,"05 Jan 2021","Delray Beach ATP - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Oliveira G.","Draxl L.","303110","806525","","","","",1,2,1,3,6,6,3,6,2,"","","","",3.25,1.33,2.75,1.4,"","","","","","","","","","","",""
"16746158",2021,1,"ATP Tour",1609887000,"05 Jan 2021","Delray Beach ATP - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Lock B.","King K.","132962","130774","","","","",2,0,2,2,6,3,6,"","","","","","",4.33,1.2,3.75,1.25,"","","","","","","","","","","",""
"92238253",2021,1,"ATP Tour",1609923000,"06 Jan 2021","Antalya ATP - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Kavcic B.","Tokac T.","276062","494292","","","","",1,2,0,6,2,6,2,"","","","","","",1,29,1.02,19,"","","","","","","","","","","",""
"89146752",2021,1,"ATP Tour",1609923600,"06 Jan 2021","Antalya ATP - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Ortega-Olmedo R.","Vavassori A.","287612","489220","","","","",2,0,2,5,7,1,6,"","","","","","",2.25,1.57,2.2,1.61,"","","","","","","","","","","",""
